ticker,quarter,royalties,opcost_ex_dda,royalty_caption,source_file,flags
AU,2024Q1,,720.000,,data/raw/AU/2025-Q1_0001628280-25-024032_agaq1mar2025earningsrelease.htm (Q1 2024 comparative column checked; no Royalties line),"NOT_DISCLOSED:royalties;No_native_'au-20240331'-style_exhibit_exists_at_all(only_au-20240630.htm_at_H1_and_au-20241231.htm_at_FY-Q1/Q3_never_get_a_formal_note_in_this_era,_confirmed_via_full_manifest_scan_for_'au-2024*'_filenames)"
AU,2024Q2,,713.000,,"data/raw/AU/2024-Q2_0001628280-24-034924_agahy1jun2024earningsrelea.htm (own period; zero 'Royalt' occurrences anywhere in file);data/raw/AU/2024-Q2_0001628280-24-034921_au-20240630.htm (sibling exhibit, filed same day, DOES carry a real Cost of sales note: Royalties H1_2024=108, H1_2023=91)","NOT_DISCLOSED:royalties;OZ_BASIS_NOTE:this_row's_period_is_2024-04-01_to_2024-06-30(a_discrete_quarter),_but_the_only_native_source_(au-20240630.htm)_gives_H1_2024_cumulative_only(108)-2024Q1_has_no_disclosed_Royalties_figure_at_all_(see_2024Q1_row)_so_H1_cannot_be_split_into_Q1+Q2_without_interpolating;_H1_2024_cumulative_of_108_is_reported_here_for_reference_only_and_NOT_applied_to_this_quarterly_row"
AU,2024Q3,,737.000,,"data/raw/AU/2024-Q3_0001628280-24-045941_agaq3sep2024earningsrelease.htm (own period; exhaustive check, only 'Royalties not included to cost of sales'(27,_a_Centamin/Sukari-specific_ARE-government-royalty_reconciling_item_introduced_ahead_of_the_Nov-2024_acquisition,_not_the_group's_standard_cost-of-sales_Royalties_line)-no_standard_line_present);data/raw/AU/2024-Q4_0001628280-25-006208_agaq4dec2024operatingstati.htm (checked for a possible per-segment $m figure; the 'Royalties' rows found there are $/oz_by-region_components_of_Total_cash_costs,_not_a_$m_group_total-not_usable_without_multiplying_by_region-level_ounces,_which_would_be_an_estimate)","NOT_DISCLOSED:royalties;Confirms_the_gap_is_structural_to_the_2023Q3-onward_earnings-release_format,_not_a_one-off_omission"
AU,2024Q4,,805.000,,"data/raw/AU/2024-Q4_0001628280-25-006206_agaq4dec2024earningsrelease.htm (own period; no Royalties line);data/raw/AU/2024-Q4_0001628280-25-006208_agaq4dec2024operatingstati.htm (only $/oz by-region components, not usable, see 2024Q3 row note);data/raw/AU/2024-Q4_0001628280-25-017760_au-20241231.htm (FY2024_20-F_Cost_of_sales_note_DOES_carry_Royalties=246,_a_full-year_figure_only)","NOT_DISCLOSED:royalties;FY2024=246_minus_H1_2024=108_gives_an_H2_2024_cumulative_of_138,_which_cannot_be_split_between_Q3_and_Q4_without_interpolating;_reported_for_reference_only,_not_applied"
AU,2025Q1,,869.000,,data/raw/AU/2025-Q1_0001628280-25-024032_agaq1mar2025earningsrelease.htm (own period; no Royalties line),NOT_DISCLOSED:royalties;No_native_'au-20250331'-style_exhibit_exists(confirmed_via_manifest_scan_for_'au-2025*'_filenames-only_au-20250630.htm_at_H1_and_au-20251231.htm_at_FY)
AU,2025Q2,,945.000,,"data/raw/AU/2025-Q2_0001628280-25-037115_agaq2jun2025earningsrelease.htm (own period; zero 'Royalt' occurrences);data/raw/AU/2025-Q2_0001628280-25-037113_au-20250630.htm (sibling exhibit DOES carry Royalties: H1_2025=186, H1_2024=108)","NOT_DISCLOSED:royalties;Same_gap_as_2024Q2:2025Q1_has_no_disclosed_figure_to_subtract_from_the_H1_2025_cumulative_of_186,_so_the_Apr-Jun-2025-only_figure_this_row_needs_cannot_be_isolated_without_interpolating;_186_reported_for_reference_only,_not_applied"
AU,2025Q3,,918.000,,data/raw/AU/2025-Q3_0001973832-25-000020_agaq3sep2025earningsrelease.htm (own period; no Royalties line),NOT_DISCLOSED:royalties;Same_structural_gap_as_2024Q3;_this_is_the_first_earnings_release_filed_by_the_new_UK_plc_CIK_0001973832_post-redomiciliation-format_unchanged
AU,2025Q4,,1003.000,,"data/raw/AU/2025-Q4_0001973832-26-000009_agaq4dec2025earningsrelease.htm (own period; no Royalties line);data/raw/AU/2025-Q4_0001973832-26-000066_au-20251231.htm (FY2025_20-F_Cost_of_sales_note_DOES_carry_Royalties=424,_a_full-year_figure_only)","NOT_DISCLOSED:royalties;FY2025=424_minus_H1_2025=186_gives_an_H2_2025_cumulative_of_238,_which_cannot_be_split_between_Q3_and_Q4_without_interpolating;_reported_for_reference_only,_not_applied"
AU,2026Q1,,1002.000,,data/raw/AU/2026-Q1_0001973832-26-000089_agaq1mar2026earningsrelease.htm (own period; no Royalties line),NOT_DISCLOSED:royalties;No_native_'au-20260331'-style_exhibit_exists(confirmed_via_manifest_scan-only_au-20260630.htm_at_H1_present_in_the_corpus_for_2026)
AU,2026Q2,,1092.000,,"data/raw/AU/2026-Q2_0001973832-26-000125_agahy1june2026earningsrele.htm (own period; zero 'Royalt' occurrences);data/raw/AU/2026-Q2_0001973832-26-000123_au-20260630.htm (sibling exhibit DOES carry Royalties: H1_2026=302, H1_2025=186)","NOT_DISCLOSED:royalties;Same_gap_as_2024Q2/2025Q2:2026Q1_has_no_disclosed_figure_to_subtract_from_the_H1_2026_cumulative_of_302,_so_the_Apr-Jun-2026-only_figure_cannot_be_isolated_without_interpolating;_302_reported_for_reference_only,_not_applied"
