company,cik,era_start,era_end,form_types,frequency,doc_format,has_gold_segment_split,cost_metric_published,cost_metric_caption,sample_accession,notes
Barrick (American Barrick / Barrick Gold / Barrick Mining),0000756894,2014,2023,"40-F (wrapper) + EX-99.x exhibits, 6-K",annual + irregular 6-K,HTML + separate-file XBRL (through ~2023),yes (in exhibits),all-in sustaining cost,"""All-in sustaining costs""",0001193125-19-083744,"Bracketed: AISC absent FY2012 MD&A (see prior row), present by FY2023 (see next row); exact adoption year not individually pinned but consistent with company-wide mid-2013 WGC rollout since Barrick was a WGC founding signatory."
Barrick (American Barrick / Barrick Gold / Barrick Mining),0000756894,2024,2026,"40-F (wrapper, now iXBRL) + EX-99.x exhibits (EX-99.3 also iXBRL), 6-K",annual + irregular 6-K,HTML + inline XBRL,"yes (verified in EX-99.3/99.4, not the wrapper)",all-in sustaining cost,"""All-in sustaining costs"", ""AISC""",0001193125-24-068583,"VERIFIED directly: fetched EX-99.4 (MD&A, gold/copper sales + AISC) and EX-99.3 (audited fin. stmts, iXBRL-tagged, segment note) for FY2023 40-F."
Agnico Eagle Mines Ltd,0000002809,pre-2002,2001,NONE (only 3rd-party SC 13G),n/a,NO EDGAR RECORD of company-filed content,n/a,n/a,n/a,n/a,VERIFIED: earliest filing under this CIK of ANY kind is a third-party SC 13G/A (1995); zero company-filed annual/interim reports before 2002.
Agnico Eagle Mines Ltd,0000002809,2002,2002,"20-F (paper), 6-K (paper)",n/a,"PAPER STUB, first real 6-K 2002-07-10",unknown,unknown,n/a,9999999997-02-028289,"First annual filing (FY2001 20-F, filed 2002-05-13) is a paper-only placeholder, same pattern as Barrick."
Agnico Eagle Mines Ltd,0000002809,2003,2012,"20-F (self-contained, full text), 6-K",annual + irregular 6-K (10-25/yr),"HTML, no XBRL through ~2008; separate-file XBRL exhibit by 2013","yes (directly in the 20-F itself -- self-contained, unlike Barrick/Kinross 40-F)",total cash cost (2002-2008); cash operating cost + AISC-type language appears by FY2012,"""Total cash cost per ounce""; AISC-style wording present in FY2012 20-F",0001047469-13-003581,"VERIFIED: unlike Barrick/Kinross, Agnico's 20-F is a full standalone annual report (segment + cost captions found directly in the primary document at every era, no exhibit-hunting needed). FY2012 20-F already shows ""all-in sustaining cost(s)"" -- an early/voluntary adopter like Newmont."
Agnico Eagle Mines Ltd,0000002809,2013,2013,20-F -> LAST YEAR of this form,annual + 6-K,"HTML, XBRL exhibit",yes,"total cash cost, AISC","""All-in sustaining costs""",0001047469-13-003581,"Last year filed as 20-F; switches to 40-F starting FY2013 (filed 2014). ENTITY-FORM DISCONTINUITY: confirms Agnico changed its EDGAR annual-report form from 20-F to 40-F, most likely reflecting a shift to full Canadian MJDS eligibility."
Agnico Eagle Mines Ltd,0000002809,2014,2018,"40-F (wrapper) + EX-99.x exhibits, 6-K",annual + irregular 6-K,"HTML, separate-file XBRL exhibit","yes (in exhibits, NOT the bare 40-F wrapper -- same Barrick/Kinross structural gotcha)","total cash cost, AISC","""All-in sustaining costs""",0001047469-19-001634,"VERIFIED FORM SWITCH CONSEQUENCE: from FY2013 onward the bare 40-F wrapper shows ZERO segment/cost keyword hits (72KB doc) even though AEM's 20-F era was self-contained -- confirms the wrapper-vs-exhibit split applies to ANY company once it moves onto 40-F, not just Barrick/Kinross."
Agnico Eagle Mines Ltd,0000002809,2019,2026,"40-F (wrapper) + EX-99.x, 6-K",annual + irregular 6-K,HTML + inline XBRL by FY2023,yes (in exhibits),all-in sustaining cost,"""All-in sustaining costs""",0001104659-24-037982,"VERIFIED: FY2023 40-F wrapper is inline-XBRL-tagged (456KB, larger than the typical bare wrapper, suggesting more content folded into the primary doc by this era)."
Kinross Gold Corp,0000701818,pre-2002,2001,NONE (only 3rd-party SC 13G),n/a,NO EDGAR RECORD of company-filed content,n/a,n/a,n/a,n/a,VERIFIED: earliest filing of any kind under this CIK is 3rd-party SC 13G (1994); zero company-filed content before 2002.
Kinross Gold Corp,0000701818,2002,2002,"40-F (paper), 6-K (paper)",n/a,PAPER STUB,unknown,unknown,n/a,9999999997-02-028302,FY2001 40-F (filed 2002-05-10) is a paper-only placeholder.
Kinross Gold Corp,0000701818,2003,2012,"40-F (wrapper) + EX-99.x exhibits, 6-K","annual + irregular 6-K (16-51/yr, partly driven by the 2003 TVX/Echo Bay merger)","HTML, no XBRL through ~2008; separate-file XBRL exhibit by 2013","yes (in exhibits, NOT the bare 40-F -- verified same gotcha as Barrick)",cash operating cost; AISC-type language present by FY2012,"""All-in sustaining cost"", ""all-in cost""",0001104659-13-026203,"VERIFIED: bare 40-F wrappers show ZERO keyword hits at every era (19KB-90KB). Fetched the FY2012 FULL SUBMISSION (all exhibits concatenated) instead -- found AISC-type language already present, an early/voluntary adopter alongside Newmont and Agnico. NOTE: Kinross has a filing-cadence irregularity -- no 40-F recorded in year 2005 in the EDGAR index (FY2004 40-F appears delayed into 2006, where 2 are filed that year) -- flagged, not independently explained."
Kinross Gold Corp,0000701818,2013,2018,"40-F (wrapper) + EX-99.x, 6-K",annual + irregular 6-K,"HTML, separate-file XBRL exhibit",yes (in exhibits),all-in sustaining cost,"""All-in sustaining cost""",0001104659-19-018715,"VERIFIED FY2018 40-F wrapper alone shows AISC caption hit (86KB doc, larger than earlier wrappers -- more MD&A-style content folded into the cover form by this era) though full financials still sit in exhibits."
Kinross Gold Corp,0000701818,2019,2026,"40-F (wrapper) + EX-99.x, 6-K",annual + irregular 6-K,HTML + inline XBRL by FY2023,yes (in exhibits),all-in sustaining cost,"""All-in sustaining cost""",0001104659-24-039723,VERIFIED FY2023 40-F inline-XBRL-tagged (444KB).
AngloGold Ashanti (old entity: AngloGold Ltd -> AngloGold Ashanti Ltd),0001067428,pre-2002,2001,NONE,n/a,NO EDGAR RECORD,n/a,n/a,n/a,n/a,CIK created 2002 (name AngloGold Ltd from 2002-02-05); no prior filings exist under this CIK.
AngloGold Ashanti (old entity: AngloGold Ltd -> AngloGold Ashanti Ltd),0001067428,2002,2002,"20-F (paper), 6-K (paper)",n/a,PAPER STUB,unknown,unknown,n/a,9999999997-02-037456,"FY2001 20-F (filed 2002-06-28) is a paper-only placeholder, same pattern as Barrick/Kinross/Agnico."
AngloGold Ashanti (old entity: AngloGold Ltd -> AngloGold Ashanti Ltd),0001067428,2003,2008,"20-F (self-contained), 6-K","annual + irregular 6-K (10-60/yr, mostly SENS/corporate news, not all carry financials)","HTML, no XBRL",yes,"total cash cost, cash operating cost","""Total cash cost""",0001205613-03-000032,"VERIFIED FY2002 20-F (self-contained like Agnico's, unlike Barrick/Kinross 40-F): gold-sales vs gold-division split present, cash-cost caption present. 6-K count is inflated by South African SENS regulatory announcements -- most do NOT carry financial statements (a 6-K text search is required per filing, cannot assume from count alone)."
AngloGold Ashanti (old entity: AngloGold Ltd -> AngloGold Ashanti Ltd),0001067428,2009,2012,"20-F, 6-K",annual + irregular 6-K,"HTML, no XBRL detected in sample",yes,"total cash cost, cash operating cost","""Total cash cost""",0001205613-09-000042,"VERIFIED FY2009-era (combined 20-F/annual-report doc) -- still pre-AISC, cash-cost captions only."
AngloGold Ashanti (old entity: AngloGold Ltd -> AngloGold Ashanti Ltd),0001067428,2013,2018,"20-F, 6-K",annual + irregular 6-K,"HTML, separate-file XBRL exhibit",yes,"total cash cost, all-in sustaining cost (AISC first verified appearing by FY2018)","""All-in sustaining cost"", ""AISC""",0001628280-19-003631,"VERIFIED FY2012 20-F (sampled) still shows ONLY total-cash-cost/cash-operating-cost, no AISC; FY2018 20-F shows full AISC suite. Exact adoption year within 2013-2018 not individually pinned (bracket)."
AngloGold Ashanti (old entity: AngloGold Ltd -> AngloGold Ashanti Ltd),0001067428,2019,2023,"20-F, 6-K -- ENTITY DEREGISTERED 2023-10-05",annual + irregular 6-K,"HTML, iXBRL by end of era (inferred, not directly sampled post-2019)",yes,all-in sustaining cost,"""All-in sustaining cost""",0001628280-19-003631,"Redomiciliation to UK: this SA entity's LAST 20-F is FY2022 (filed 2023-03-17); deregistered via Form 15-12G on 2023-10-05. Overlaps with the NEW UK plc CIK 1973832, which starts filing 2023-04-21 -- an ~6-month dual-filing window. This matches fetch_filings.py's existing stitching logic exactly."
AngloGold Ashanti plc (new UK redomiciled entity),0001973832,2023,2026,"20-F, 6-K",annual + irregular 6-K (32-45/yr),HTML + inline XBRL from the start,yes,all-in sustaining cost,"""All-in sustaining cost"", ""AISC""",0001628280-24-017820,VERIFIED: FY2023 20-F (first annual filing of this new CIK) is iXBRL-tagged and carries full gold/silver segment split + AISC suite. DRS registration 2023-04-21; first 6-K 2023-09-25.
Gold Fields Ltd,0001172724,pre-2002,2001,NONE,n/a,NO EDGAR RECORD,n/a,n/a,n/a,n/a,CIK created 2002 (20FR12B registration 2002-05-06); no prior filings.
Gold Fields Ltd,0001172724,2002,2002,"20-F (paper), 6-K (paper)",n/a,"PAPER STUB, first real 6-K 2002-12-11",unknown,unknown,n/a,9999999997-02-055666,First annual filing was for a stub period ending 2002-06-30 (Gold Fields then had a JUNE fiscal year end) and is a paper-only placeholder.
Gold Fields Ltd,0001172724,2003,2008,"20-F (self-contained), 6-K",annual + irregular 6-K (16-62/yr),"HTML, no XBRL",yes,"total cash cost, cash operating cost, cash cost per ounce","""Total cash cost""",0001156973-03-001918,"VERIFIED FY-June-2003 20-F (first real/machine-readable annual, filed 2003-12-29): note the ODD fiscal year end (June 2003) -- Gold Fields later moved to a Dec-31 fiscal year (by the 2009+ samples reportDate=June, later samples show Dec) -- an entity discontinuity worth flagging for period alignment in extraction. Full cost/capex detail per research-team convention (fetch_filings.py) is concentrated in H1/FY 6-Ks, not every quarterly 6-K."
Gold Fields Ltd,0001172724,2009,2012,"20-F, 6-K",annual + irregular 6-K,"HTML, separate-file XBRL exhibit appears (verified in index by 2009 sample)",yes,"total cash cost, cash cost per ounce","""Total cash cost"", ""Cash cost per ounce""",0001193125-13-219018,VERIFIED FY2012 20-F: still pre-AISC (only total-cash-cost family present).
Gold Fields Ltd,0001172724,2013,2018,"20-F, 6-K",annual + irregular 6-K,"HTML, separate-file XBRL exhibit",yes,all-in sustaining cost,"""All-in sustaining cost"", ""AISC""",0001193125-19-092325,VERIFIED FY2018 20-F has full AISC suite (bracket vs FY2012 above -- adoption year within 2013-2018 not individually pinned).
Gold Fields Ltd,0001172724,2019,2026,"20-F, 6-K",annual + irregular 6-K,HTML + inline XBRL,yes,all-in sustaining cost,"""All-in sustaining cost"", ""AISC""",0001172724-24-000017,"VERIFIED FY2023 20-F inline-XBRL-tagged, full gold/copper/silver split."
Placer Dome Inc (acquired by Barrick 2006),0000819996,pre-2002,2001,NONE (only 3rd-party SC 13G from 1998),n/a,NO EDGAR RECORD of company-filed content,n/a,n/a,n/a,n/a,"VERIFIED: a century-old major producer, but ZERO company-filed content exists under this CIK before 2002 -- same EDGAR-mandate-timing pattern as Barrick/Kinross/Agnico/AngloGold/Gold Fields."
Placer Dome Inc (acquired by Barrick 2006),0000819996,2002,2006,"40-F (wrapper) + EX-99 exhibits, 6-K -- ENTIRE usable EDGAR LIFE is this 4-year window",annual + irregular 6-K (5-18/yr),"HTML, no XBRL (company deregistered before XBRL mandates existed)",yes,"total cash cost, cash operating cost","""Total cash cost""",0000945234-03-000078,"VERIFIED FY2002 40-F wrapper + EX exhibits. Entire usable window: real content starts 2002, last annual 40-F is FY2004 (filed 2005-03-04), acquired by Barrick March 2006 (last 6-Ks trail off in 2006, 3 total). Placer Dome's pre-2002 history (operating since 1926, major producer through the 1990s) is UNRECOVERABLE from EDGAR -- would require SEDAR (Canadian) or paper archives, out of scope here."
Goldcorp Inc (acquired by Newmont 2019),0000919239,1997,2000,6-K,"irregular, roughly 3-6/yr (not a clean quarterly cadence)",plain-text .txt / early pseudo-HTML,unverified (not sampled at this era),unverified,n/a,0000912057-97-019148,"VERIFIED PRESENCE: real 6-Ks exist from 1997-05-30 -- earlier and more complete than the FPI-mandate-driven peers above (Goldcorp was already a reporting company via a different registration path). NOTE: zero filings recorded for calendar year 2001 (gap) -- flagged, not independently explained. Content of these early 6-Ks not sampled for segment/cost detail (resource-budget triage)."
Goldcorp Inc (acquired by Newmont 2019),0000919239,2001,2002,"20-F (real, self-contained -- NOT a paper stub, unlike the FPI-mandate group)",annual + 6-K,"HTML, no XBRL","yes (verified: ""reportable segment"" hit)",not verified in this sample,n/a,0000950134-02-006140,"VERIFIED FY2001 20-F (filed 2002-05-24) IS real/machine-readable, unlike peers whose first annual was a paper stub -- Goldcorp's EDGAR onboarding predates the 2002 FPI mandate wave."
Goldcorp Inc (acquired by Newmont 2019),0000919239,2003,2018,"40-F (wrapper) + exhibits (form switched from 20-F starting FY2002), 6-K",annual + irregular 6-K (33-64/yr),HTML; XBRL exhibit by 2013 sample; entity deregistered before iXBRL era,yes (unverified in FY2013/FY2018 wrapper samples -- same Barrick-pattern wrapper is likely near-empty; not independently confirmed via exhibits for this company),not verified (wrapper samples for FY2012 and FY2018 both show ZERO keyword hits),n/a,0001193125-19-090661,"Wrapper-only samples (69KB FY2012, 78KB FY2018) show no hits, consistent with the Barrick/Kinross/Agnico 40-F wrapper pattern -- content almost certainly lives in EX-99.x exhibits (not individually re-verified for Goldcorp given time budget; treat as INFERRED by structural analogy, not directly fetched)."
Goldcorp Inc (acquired by Newmont 2019),0000919239,2019,2019,6-K only -- ACQUIRED BY NEWMONT April 2019,n/a,n/a,n/a,n/a,n/a,n/a,Deregistered via Form 15-12B on 2019-05-03. Last 40-F was FY2018 (filed 2019-03-28).
Randgold Resources Ltd (merged into Barrick Jan 2019),0001175580,2002,2008,"20-F (self-contained), 6-K",annual + irregular 6-K (3-28/yr),HTML/plain-text hybrid (first 20-F is .txt-extension but HTML-tagged),yes,"total cash cost, cash operating cost, cash cost per ounce","""Total cash cost""",0000950136-03-001597,"VERIFIED FY2002-era 20-F (F-1 IPO reg 2002-06-21, first real 6-K 2002-08-14): full gold-sales/silver-sales split and cash-cost captions present from the start -- this is a self-contained 20-F, same pattern as Agnico/AngloGold/Gold Fields/Harmony (not the Barrick/Kinross wrapper problem)."
Randgold Resources Ltd (merged into Barrick Jan 2019),0001175580,2009,2018,"20-F, 6-K -- MERGED INTO BARRICK Jan 2019",annual + irregular 6-K (22-47/yr),"HTML, no XBRL detected in sample",yes,"total cash cost, cash operating cost, cash cost per ounce, all-in sustaining cost (present by FY2012)","""All-in sustaining cost""",0001193125-13-132823,"VERIFIED FY2012 20-F already carries full AISC suite -- another early/voluntary adopter alongside Newmont/Kinross/Agnico. Last 20-F FY2017 (filed 2018-03-29); merged into Barrick Jan 2019, CIK inactive after a final SC 13G/A (2019-02-13)."
Harmony Gold Mining Co Ltd,0001023514,2002,2008,"20-F (self-contained), 6-K","annual + irregular 6-K (6-58/yr, SENS-heavy)","HTML, no XBRL",yes,"total cash cost, cash operating cost, cash cost per ounce","""Total cash cost""",0000950133-02-004184,"VERIFIED FY-June-2002 20-F (filed 2002-12-23, REAL content not a paper stub -- unlike the Barrick/Kinross/Agnico/AngloGold/GoldFields group whose FY2001 20-Fs were all paper-only). Harmony has used a JUNE fiscal year end continuously ever since (still true in FY2025 sample) -- a persistent period-alignment quirk vs the calendar-year peers."
Harmony Gold Mining Co Ltd,0001023514,2009,2018,"20-F, 6-K",annual + irregular 6-K,"HTML, separate-file XBRL exhibit",yes,"total cash cost, cash operating cost, cash cost per ounce; all-in sustaining cost present by FY-June-2013","""All-in sustaining cost""",0001193125-13-411617,VERIFIED FY-June-2013 20-F already carries full AISC suite.
Harmony Gold Mining Co Ltd,0001023514,2019,2026,"20-F, 6-K",annual + irregular 6-K,HTML + inline XBRL by FY-June-2024,yes,all-in sustaining cost,"""All-in sustaining cost"", ""AISC"", ""All-in cost""",0001628280-24-044479,"VERIFIED FY-June-2024 20-F inline-XBRL-tagged, full gold/silver/uranium segment split present."
Compania de Minas Buenaventura,0001013131,2002,2008,"20-F (self-contained), 6-K",annual + irregular 6-K (2-24/yr),"HTML, no XBRL",yes,"cash operating cost, cash cost per ounce","""Cash operating cost""",0001013131-03-000010,"VERIFIED FY2002 20-F (real content, first real 6-K 2002-10-29): gold-sales split present alongside ""gold produced and sold"" line; cash-cost captions present but NOT the Gold-Institute ""total cash cost"" phrase specifically -- Buenaventura's own phrasing is used instead (""cash operating cost""), a company-specific caption variant worth noting for extraction agents."
Compania de Minas Buenaventura,0001013131,2009,2026,"20-F, 6-K",annual + irregular 6-K (11-29/yr),HTML through ~2018; iXBRL by FY2023,yes (gold vs copper vs silver split present),cash operating cost (AISC NOT verified present -- absent from both FY2012 and FY2023 samples),"""Cash operating cost""",0001410578-24-000577,"VERIFIED at TWO widely-spaced points (FY2012 and FY2023): Buenaventura does NOT use the ""all-in sustaining cost""/AISC phrase in either sample -- it appears to be a persistent non-adopter of the WGC AISC caption, publishing only a ""cash operating cost"" metric across its entire EDGAR history. FLAG for METHODOLOGY.md: AISC checksum step (per METHODOLOGY.md Section 1) may not be available for Buenaventura at all -- needs a NO_AISC_CHECK flag by default."
Freeport-McMoRan Inc (f/k/a Freeport-McMoRan Copper & Gold Inc),0000831259,1994,1994,"10-K, 10-Q, 8-K",quarterly,"GENUINE plain ASCII .txt, no markup at all (verified: no HTML/SGML table tags detected)",yes (gold sales vs copper sales),none found,n/a,0000950103-94-001945,VERIFIED FY1993 10-K: the ONLY sampled filing across this entire project that is TRULY unformatted ASCII (my HTML-detection heuristic returned False here vs True for every other pre-2001 sample) -- genuinely the hardest format tier to parse.
Freeport-McMoRan Inc (f/k/a Freeport-McMoRan Copper & Gold Inc),0000831259,1995,2002,"10-K405, 10-Q",quarterly,plain-text .txt / early pseudo-HTML (not directly re-sampled; inferred continuation of the 1994 style bracketed against the 2003 HTML sample),yes,not verified in this era,n/a,n/a,INFERRED bracket only (not independently fetched for this specific range) between the verified 1994 ASCII sample and the verified 2003 HTML sample.
Freeport-McMoRan Inc (f/k/a Freeport-McMoRan Copper & Gold Inc),0000831259,2003,2008,"10-K, 10-Q",quarterly,"HTML, no XBRL",yes,NONE FOUND (no total-cash-cost/AISC caption for gold specifically),n/a,0000831259-03-000015,"VERIFIED FY2002 and FY2008 10-Ks: gold/silver-sales lines exist in the segment note, but NO gold-specific per-ounce cash-cost or AISC metric was found in either sample -- FCX is a copper company (gold ~10-20% of revenue per UNIVERSE.md Sec 9.1) and does not appear to publish a gold AISC. HARD BLOCKER FLAG for the margin formula: gold segment REVENUE is extractable, but the AISC-checksum step (METHODOLOGY.md Sec 1) likely has no gold-specific published figure to check against for this company -- needs NO_AISC_CHECK by default, to be confirmed by an extraction agent doing a full-text read."
Freeport-McMoRan Inc (f/k/a Freeport-McMoRan Copper & Gold Inc),0000831259,2009,2018,"10-K, 10-Q",quarterly,HTML + separate-file XBRL exhibit,yes,"cash operating cost (company-wide, not gold-specific) by FY2008; no gold AISC found FY2018",n/a,0000831259-19-000009,"VERIFIED FY2008 10-K has a company-wide ""cash operating cost"" caption (likely copper-per-lb, not gold-per-oz); FY2018 10-K sample shows ZERO cost-keyword hits at all."
Freeport-McMoRan Inc (f/k/a Freeport-McMoRan Copper & Gold Inc),0000831259,2019,2026,"10-K, 10-Q",quarterly,HTML + inline XBRL by FY2023,yes,not verified as gold-specific,n/a,0000831259-24-000011,VERIFIED FY2023 10-K inline-XBRL-tagged; segment split present (gold/copper/silver revenue lines exist) but this project did not verify a gold-specific cost-per-ounce metric anywhere in FCX's EDGAR history.
Sibanye Gold Ltd (spun off from Gold Fields Nov 2012),0001561694,2012,2018,"20-F, 6-K",annual + irregular 6-K (30-84/yr),"HTML, separate-file XBRL exhibit by FY2012 sample",yes,"total cash cost, cash cost per ounce (FY2012); all-in sustaining cost present by FY2018","""All-in sustaining cost"", ""AISC""",0001558370-19-002873,"VERIFIED: FY2012 20-F (first annual, filed 2013-04-26, spin-off from Gold Fields) shows only total-cash-cost family; FY2018 20-F shows full AISC suite -- adoption bracketed 2013-2018, not pinned to an exact year."
Sibanye Gold Ltd (spun off from Gold Fields Nov 2012),0001561694,2019,2019,6-K only -- entity renamed/re-registered under new CIK,n/a,n/a,n/a,n/a,n/a,n/a,"DUAL-CIK STITCH (same pattern as AngloGold, verified): this SA entity's LAST filing is a 6-K dated 2020-11-20. The SAME operating company continues under a NEW CIK 1786909 (Sibanye Stillwater Ltd), whose FIRST filing is 2019-10-04 (Form 425, merger-related) -- an OVERLAP WINDOW of 2019-10-04 to 2020-11-20 (~13.5 months) during which BOTH CIKs have live filings, exactly analogous to the AngloGold 1067428->1973832 stitch (~6-month overlap) that fetch_filings.py already handles. UNLIKE AngloGold, fetch_filings.py does NOT currently stitch Sibanye's two CIKs -- if Sibanye is added to the formal 6/7-company pipeline, ciks=['0001786909','0001561694'] (new-first, old-second, same convention as the AU stitch) needs to be added to the Company registry in src/fetch_filings.py."
"Sibanye Stillwater Ltd (renamed from Sibanye Gold, incl. Stillwater PGM acquisition)",0001786909,2019,2026,"20-F, 6-K",annual + irregular 6-K (35-59/yr),HTML through ~2019; iXBRL by FY2023,yes (gold vs PGM/copper split present),"total cash cost, all-in sustaining cost","""All-in sustaining cost"", ""AISC""",0001786909-24-000019,"DUAL-CIK STITCH counterpart (see Sibanye Gold Ltd CIK 1561694 row for the full note): this new CIK's first filing (2019-10-04, Form 425) predates the OLD CIK's last filing (2020-11-20) by ~13.5 months -- both CIKs were live simultaneously during that window. VERIFIED FY2023 20-F inline-XBRL-tagged, full ""gold segment"" caption present alongside PGM segment -- NOTE: post-2017 Stillwater acquisition, gold is now a MINORITY of Sibanye-Stillwater's revenue (per UNIVERSE.md Sec 9.1, gold share has declined since 2020) -- the gold-vs-PGM segment split is present and usable, but a growing share of consolidated results is non-gold."
Echo Bay Mines Ltd (merged into Kinross Feb 2003),0000722080,1996,2002,"10-K, 10-K405, 10-Q -- filed as a US DOMESTIC FILER despite being Canadian",quarterly (clean 3+1 cadence every year),plain-text .txt / early pseudo-HTML (not individually re-verified; same era pattern as Newmont-predecessor),"not verified (not sampled for keywords -- CIK resolution + form-type history only, per resource triage)",not verified,n/a,0000950134-97-001137,"STRUCTURAL NOTE: unlike every other Canadian company in this study (which files 40-F/6-K as a Foreign Private Issuer), Echo Bay chose US DOMESTIC FILER status (10-K/10-Q) -- meaning it has a genuine QUARTERLY financial-statement cadence back to 1996, unlike its FPI peers who have no usable EDGAR content before 2002 at all. Earliest EDGAR record for this CIK is 1996-05-15 (confirmed true earliest -- recent-block covers full history, no older-files pointer). Deregistered 2003-11-26 after the 3-way Kinross/TVX/Echo Bay merger (Feb 2003)."
